"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BRPF1",1700.99457231883,-1.37701402069462,0.136090959614151,-10.1179795550107,4.59809174321e-24,4.11621172852159e-20
"GRASP",717.687482738218,-2.86769774760259,0.301132290596909,-9.52124302832537,1.71119794975007e-21,7.65932202308131e-18
"ID1",48.3913731938457,-3.93166674054166,0.390702103350997,-9.53484790796002,1.50105432364772e-21,7.65932202308131e-18
"ZNF780A",803.867241665522,1.43670479454627,0.157302277884085,9.13177820577728,6.73832531555146e-20,2.41285952899267e-16
"CBX6",5120.43145213895,-1.76582488801328,0.195474491782524,-9.03340868713489,1.66405829775158e-19,4.96554996049073e-16
"CETN3",208.783471928661,2.04748976784149,0.230319235876025,8.87471084132771,7.01153402727996e-19,1.56918131530525e-15
"ZNF2",133.380845838322,2.04701132653031,0.233817296098029,8.73075550472939,2.52977017042234e-18,5.0325561256935e-15
"LINC01355",87.8916465542988,3.05295411826773,0.355693177398787,8.47876355481507,2.27599680790952e-17,3.70449516807382e-14
"SH3D19",153.696009551546,-2.33009754346244,0.274129265164057,-8.48601670630689,2.13840716577157e-17,3.70449516807382e-14
"LOC101927550",341.77377091149,-1.14648094620108,0.138869603309432,-8.25488121966352,1.52053384988419e-16,2.26863650402721e-13
"ATG4D",448.236220752847,-1.78476577738716,0.21824512959411,-8.17565258496598,2.94268770584425e-16,4.05276005272581e-13
"KLHL15",2989.21868090545,-1.51378156212877,0.186969683442262,-8.09625367658385,5.66775704600301e-16,7.24825158225985e-13
"MED26",447.403898295141,-1.42324231473479,0.175992860705592,-8.08570099664726,6.18076530527568e-16,7.37736146837705e-13
"CFL2",586.623066324002,-1.59622314459898,0.198563010194108,-8.03748809403189,9.16988050834517e-16,9.12097447896732e-13
"KAT7",3520.62311528609,-1.18665208895813,0.147443002508501,-8.04814229848341,8.40601801446668e-16,9.12097447896732e-13
"MIR4539",240.524960336359,2.69295167115934,0.334319246035342,8.03927248175403,9.0373417534806e-16,9.12097447896732e-13
"TICAM1",260.309182837442,-1.82855330587986,0.228486708938625,-7.99864049583112,1.25800425229506e-15,1.18543727016267e-12
"CHRM4",42.2032180964703,-2.53096931166039,0.315268794490823,-7.94749746596308,1.90316899025018e-15,1.70371688007196e-12
"C17orf80",492.219927356123,1.36446039825729,0.172957460578944,7.88678270948432,3.1007662061115e-15,2.64362467401049e-12
"HES4",52.637630416356,-2.71537616391914,0.342552443846081,-7.84858426284165,4.20759881709817e-15,3.42422041915116e-12
"SERTAD2",5540.41955160252,-1.63706093987496,0.209851292543607,-7.8010228307941,6.14074006152441e-15,4.64557455515772e-12
"ZNF594",221.840319378398,2.12919186514004,0.272569897206252,7.79925621077577,6.22731173613635e-15,4.64557455515772e-12
"ZNF613",177.332520142994,1.35701267610214,0.17474369649187,7.75958685299586,8.52064975188714e-15,6.10214852631149e-12
"PQLC2",447.313676759827,-1.6629053645816,0.214607624097675,-7.74701254868393,9.40796623307518e-15,6.47847028603762e-12
"GET4",680.487484281391,-1.41903898330255,0.184136504176969,-7.70582947227862,1.29996123917164e-14,8.62018741708484e-12
"EIF4H",8656.0884976396,-1.0751728024094,0.139676735896131,-7.69756038828872,1.38688552225466e-14,8.86814228230268e-12
"HLA-DOA",489.208519455323,1.75359199636832,0.229064566196682,7.65249592125662,1.97115362973936e-14,1.21694946851219e-11
"HOMEZ",214.204798639974,1.52698196219441,0.19988807704141,7.63302719619148,2.29304485666452e-14,1.33576954398635e-11
"ZNF780B",814.306815189262,1.62239361124683,0.212528959110406,7.63192013659849,2.3128270701283e-14,1.33576954398635e-11
"SLC7A5",661.162893596529,-1.90952838379926,0.251083780182452,-7.603712338951,2.87754494294544e-14,1.60998639557797e-11
"TMOD4",186.77826967287,1.55366857083076,0.204523344434409,7.58881612672792,3.22841500809196e-14,1.70004536190819e-11
"ZKSCAN1",4234.09887040829,1.05623441113633,0.13914534156619,7.59072754893235,3.18114207627426e-14,1.70004536190819e-11
"LOC100506127",281.14209166125,1.67049116358583,0.220922627206415,7.55570880544744,4.16584918617643e-14,2.12204672236578e-11
"TRIM11",722.874412251086,-1.14842346889233,0.153173083518299,-7.49712294995851,6.52337855937348e-14,3.15660999262224e-11
"RND2",25.4982653311173,-2.67411472864399,0.349067005604291,-7.48843173693874,6.97014227432166e-14,3.28403755998566e-11
"ZNF181",258.773939017323,2.01201273436599,0.268850545847803,7.47490666873967,7.72586668092682e-14,3.5467671039824e-11
"TTC9C",524.817154895275,1.15686817939076,0.154903901593454,7.46702740412827,8.20266905103743e-14,3.67151466724436e-11
"NDUFS6",286.078779901525,-1.04844762625731,0.140834835644486,-7.44366540723342,9.79293489972043e-14,4.2764074742584e-11
"PGBD2",283.469612598375,1.46851186501906,0.197868148207142,7.41737365323218,1.19465560657048e-13,5.09264618572331e-11
"ZNF234",310.770635579904,1.82234918885488,0.246186164640693,7.39632927778113,1.40000595491732e-13,5.82923409693945e-11
"ORAI1",273.1405967921,-1.14797317605534,0.155678337569043,-7.37277644463515,1.67110588051545e-13,6.79988174653376e-11
"LINC01480",78.2692112525625,2.005445865494,0.273124815371428,7.31216595614673,2.62870160432053e-13,1.04587274497233e-10
"C19orf45",50.2889310574555,-2.47447239624855,0.338021261255716,-7.2693747189207,3.61155289405141e-13,1.40567919598036e-10
